epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2513,5.63609,4.54446,3.91088,0.00114,0.15588,0.00066,0.00028,nan,nan,nan,0.000660436,0.000660436,0.000660436
2,54.9223,4.28976,3.54408,2.85255,0,0,0,0,nan,nan,nan,0.00131396,0.00131396,0.00131396
3,81.452,4.06305,3.50158,2.55208,0.00134,0.40294,0.00135,0.00043,nan,nan,nan,0.00195429,0.00195429,0.00195429
4,108.351,3.87029,3.48717,2.42755,0.00121,0.36176,0.00097,0.00026,3.91286,3.82567,3.92404,0.0019406,0.0019406,0.0019406
5,134.775,3.93427,3.45442,2.42337,0.00142,0.42647,0.00168,0.00046,3.85918,3.68134,2.51564,0.0019208,0.0019208,0.0019208
6,161.469,3.90525,3.4466,2.38172,0.00157,0.47059,0.00147,0.00046,3.77596,3.54724,2.50051,0.001901,0.001901,0.001901
7,186.893,3.90276,3.46614,2.34614,0.00135,0.40588,0.00122,0.00038,3.90906,3.82817,2.51536,0.0018812,0.0018812,0.0018812
8,214.025,3.85385,3.45342,2.33879,0.00124,0.37059,0.00091,0.0003,3.82268,3.79055,2.49856,0.0018614,0.0018614,0.0018614
9,240.514,3.841,3.44276,2.33944,0.00139,0.41765,0.0029,0.00058,3.81801,3.86656,2.48048,0.0018416,0.0018416,0.0018416
10,268.655,3.79867,3.4718,2.27037,0.0012,0.35882,0.00128,0.00034,3.85626,3.73645,2.48362,0.0018218,0.0018218,0.0018218
11,294.996,3.73835,3.45264,2.26072,0.00127,0.38235,0.00154,0.00043,3.88811,3.94059,2.49096,0.001802,0.001802,0.001802
12,320.312,3.69256,3.46484,2.24808,0.00155,0.46471,0.00151,0.00047,3.97333,3.9242,2.56642,0.0017822,0.0017822,0.0017822
13,345.562,3.77859,3.45191,2.28816,0.00124,0.37059,0.00175,0.00058,3.87829,3.72479,2.53658,0.0017624,0.0017624,0.0017624
14,370.854,3.71683,3.4978,2.25168,0.00143,0.42941,0.00129,0.00039,3.93151,4.02276,2.52318,0.0017426,0.0017426,0.0017426
15,396.672,3.74035,3.48678,2.23111,0.00171,0.51176,0.00196,0.00064,3.93945,4.00449,2.54572,0.0017228,0.0017228,0.0017228
16,422.012,3.7074,3.47993,2.25214,0.00174,0.52059,0.0028,0.00082,3.76946,3.85917,2.4929,0.001703,0.001703,0.001703
17,447.975,3.70389,3.49095,2.25721,0.00167,0.5,0.00236,0.0009,3.78393,4.00528,2.48243,0.0016832,0.0016832,0.0016832
18,474.08,3.69273,3.4709,2.23185,0.00169,0.50588,0.00179,0.00051,3.85104,4.00669,2.51901,0.0016634,0.0016634,0.0016634
19,498.94,3.60515,3.47641,2.17822,0.00176,0.52941,0.00201,0.00057,3.82284,4.19924,2.50745,0.0016436,0.0016436,0.0016436
20,524.092,3.67038,3.4941,2.20164,0.00173,0.51765,0.00239,0.00065,3.74781,3.70674,2.47418,0.0016238,0.0016238,0.0016238
21,549.666,3.61745,3.4821,2.2048,0.00142,0.42647,0.00181,0.00051,3.86267,4.1275,2.51372,0.001604,0.001604,0.001604
22,574.467,3.61477,3.45997,2.18847,0.00155,0.46471,0.00206,0.00051,3.68844,4.0407,2.4493,0.0015842,0.0015842,0.0015842
23,599.322,3.60442,3.45677,2.17605,0.00171,0.51176,0.00172,0.00052,3.69503,3.48524,2.43091,0.0015644,0.0015644,0.0015644
24,624.159,3.62862,3.4336,2.1821,0.00193,0.57941,0.00295,0.00075,3.67416,3.80999,2.44082,0.0015446,0.0015446,0.0015446
25,648.988,3.65896,3.45112,2.22302,0.00214,0.64118,0.00358,0.00106,3.48988,3.82378,2.38415,0.0015248,0.0015248,0.0015248
26,675.825,3.60747,3.41333,2.18884,0.00176,0.52941,0.00347,0.00106,3.53866,3.4201,2.35584,0.001505,0.001505,0.001505
27,701.542,3.5547,3.41237,2.14527,0.00202,0.60588,0.00924,0.00263,3.43884,3.43625,2.30589,0.0014852,0.0014852,0.0014852
28,728.779,3.44038,3.3054,2.1109,0.00364,0.66471,0.04014,0.01209,3.30193,3.11442,2.23785,0.0014654,0.0014654,0.0014654
29,756.314,3.45335,3.23637,2.11237,0.00263,0.78824,0.01161,0.00318,3.1945,3.26411,2.22783,0.0014456,0.0014456,0.0014456
30,782.558,3.30237,3.14895,2.04226,0.09186,0.28824,0.08938,0.02266,3.12282,3.01643,2.14433,0.0014258,0.0014258,0.0014258
