epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8969,4.89849,7.54486,3.20146,0,0,0,0,nan,nan,nan,0.00065625,0.00065625,0.00065625
2,35.3797,4.07866,4.22767,2.66928,0,0,0,0,nan,nan,nan,0.00129672,0.00129672,0.00129672
3,54.7423,3.98188,4.17159,2.46922,0.00033,0.13402,0.00039,0.00015,nan,nan,nan,0.0019108,0.0019108,0.0019108
4,74.7477,4.02369,4.31747,2.43504,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,93.2042,3.772,4.21172,2.37749,0.00019,0.04124,0.0001,2e-05,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,110.86,3.65012,4.24339,2.19535,0.00135,0.01031,0.0007,0.00014,nan,nan,nan,0.001802,0.001802,0.001802
7,130.41,3.82775,4.34072,2.26404,0.00075,0.10309,0.00051,0.00016,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,149.255,3.61997,4.32337,2.1788,0.0625,0.01031,0.03251,0.00325,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,167.687,3.66241,4.19022,2.14922,0,0,0,0,3.40408,3.90827,2.28693,0.0016832,0.0016832,0.0016832
10,185.332,3.5384,4.27467,2.11197,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,203.646,3.58145,4.18894,2.18225,0.00136,0.15464,0.00082,0.00028,nan,nan,nan,0.001604,0.001604,0.001604
12,221.232,3.68426,4.27183,2.20391,0,0,0,0,3.42309,3.88159,2.28669,0.0015644,0.0015644,0.0015644
13,239.055,3.63429,4.39573,2.14447,0,0,0,0,3.54478,4.09936,2.32361,0.0015248,0.0015248,0.0015248
14,257.002,3.69257,4.28054,2.14158,0,0,0,0,3.39689,3.7462,2.24446,0.0014852,0.0014852,0.0014852
15,274.332,3.5632,4.33268,2.09464,0,0,0,0,nan,nan,nan,0.0014456,0.0014456,0.0014456
16,291.598,3.71876,4.39778,2.12437,0,0,0,0,3.45949,3.91558,2.26148,0.001406,0.001406,0.001406
17,309.407,3.60718,4.34743,2.16025,0,0,0,0,3.56783,3.84459,2.30239,0.0013664,0.0013664,0.0013664
18,327.489,3.45143,4.27067,2.07381,0.00066,0.06186,0.0023,0.00067,3.50587,3.74627,2.28887,0.0013268,0.0013268,0.0013268
19,345.653,3.49518,4.27557,2.03854,0.00469,0.02062,0.0024,0.0012,3.45193,3.95252,2.25552,0.0012872,0.0012872,0.0012872
20,363.172,3.43442,4.35003,2.07491,0,0,0,0,3.48948,3.85862,2.29471,0.0012476,0.0012476,0.0012476
21,380.573,3.5121,4.19026,2.08656,0,0,0,0,3.51143,3.86379,2.30822,0.001208,0.001208,0.001208
22,397.656,3.4507,4.33123,2.11438,0,0,0,0,3.46039,3.95356,2.27615,0.0011684,0.0011684,0.0011684
23,416.229,3.54738,4.25733,2.07477,0.00166,0.07216,0.00106,0.0005,3.43956,3.81973,2.2619,0.0011288,0.0011288,0.0011288
24,434.501,3.59213,4.29289,2.0941,0.00115,0.01031,0.00095,0.00085,3.53612,3.79642,2.2844,0.0010892,0.0010892,0.0010892
25,452.082,3.43469,4.27148,2.03386,0,0,0,0,3.40739,3.96422,2.24157,0.0010496,0.0010496,0.0010496
26,469.61,3.50942,4.36178,2.07332,0,0,0,0,3.42453,3.9022,2.23551,0.00101,0.00101,0.00101
27,489.319,3.62921,4.2704,2.15787,0.00092,0.03093,0.0005,0.00015,3.56579,3.74072,2.35043,0.0009704,0.0009704,0.0009704
28,507.728,3.50742,4.34019,2.1013,0,0,0,0,3.46255,3.85086,2.25775,0.0009308,0.0009308,0.0009308
