epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5364,5.63609,4.54446,3.91088,0.00114,0.15588,0.00066,0.00028,nan,nan,nan,0.000660436,0.000660436,0.000660436
2,51.8136,4.28741,3.56834,2.86529,0,0,0,0,nan,nan,nan,0.00130083,0.00130083,0.00130083
3,77.8531,3.98447,3.53335,2.54067,0.00207,0.00588,0.00105,0.00031,nan,nan,nan,0.00191482,0.00191482,0.00191482
4,105.172,3.92569,3.48432,2.41571,0.00841,0.00588,0.00185,0.0006,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,131.432,3.88804,3.4755,2.39181,0.00125,0.37647,0.00113,0.00034,3.9539,3.69826,2.53817,0.0018416,0.0018416,0.0018416
6,157.841,3.86544,3.45121,2.35214,0.00125,0.37353,0.00093,0.00027,3.79908,3.4255,2.48773,0.001802,0.001802,0.001802
7,185.481,3.83543,3.45585,2.30893,0.0019,0.54412,0.00272,0.0008,3.81366,3.54414,2.4771,0.0017624,0.0017624,0.0017624
8,213.532,3.80032,3.44297,2.32694,0.00139,0.41765,0.00147,0.00042,3.88342,3.74391,2.47718,0.0017228,0.0017228,0.0017228
9,239.694,3.78742,3.44886,2.31522,0.00191,0.57353,0.00217,0.00065,3.81304,3.80615,2.49382,0.0016832,0.0016832,0.0016832
10,266.464,3.78654,3.48931,2.25702,0.00125,0.37353,0.00093,0.0003,3.94452,3.90645,2.5318,0.0016436,0.0016436,0.0016436
11,293.534,3.76757,3.47589,2.27039,0.00142,0.42647,0.00135,0.00043,3.87784,3.90321,2.52747,0.001604,0.001604,0.001604
12,320.375,3.70783,3.48093,2.25366,0.00177,0.53235,0.00199,0.00059,3.85216,3.97179,2.50818,0.0015644,0.0015644,0.0015644
13,346.956,3.74023,3.47636,2.26094,0.00148,0.44412,0.00128,0.00042,3.84777,3.58779,2.52348,0.0015248,0.0015248,0.0015248
14,374.377,3.69277,3.50155,2.2418,0.0014,0.42059,0.0012,0.00039,nan,nan,nan,0.0014852,0.0014852,0.0014852
15,401.217,3.67162,3.51135,2.18027,0.00184,0.55294,0.00468,0.00109,3.9197,3.61971,2.4985,0.0014456,0.0014456,0.0014456
16,428.342,3.66462,3.50722,2.17897,0.00183,0.55,0.00231,0.00066,3.66319,3.69344,2.40146,0.001406,0.001406,0.001406
17,455.042,3.60755,3.54796,2.13816,0.00212,0.63529,0.00289,0.00083,3.49641,3.76764,2.32624,0.0013664,0.0013664,0.0013664
