epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,1053.3,3.62073,3.50687,2.17268,0.00175,0.52412,0.00174,0.00052,3.67149,4.27941,2.40605,0.0012872,0.0012872,0.0012872
20,1107.57,3.58344,3.52603,2.16015,0.00145,0.43529,0.00162,0.00051,3.7929,3.93337,2.41818,0.0012476,0.0012476,0.0012476
21,1161.47,3.64916,3.50494,2.17471,0.00148,0.44529,0.00169,0.00049,3.8178,4.1229,2.44516,0.001208,0.001208,0.001208
22,1215.12,3.63286,3.51424,2.17212,0.00156,0.37882,0.00125,0.0004,nan,nan,nan,0.0011684,0.0011684,0.0011684
23,1269.14,3.66418,3.52461,2.17941,0.00162,0.48647,0.00159,0.00047,3.71582,3.98473,2.39537,0.0011288,0.0011288,0.0011288
24,1324.48,3.59202,3.49907,2.1627,0.00163,0.49,0.00159,0.00044,3.66273,4.28432,2.39227,0.0010892,0.0010892,0.0010892
25,1379.04,3.58707,3.50599,2.15303,0.00133,0.4,0.00106,0.00031,3.77784,4.10496,2.44257,0.0010496,0.0010496,0.0010496
26,1433.3,3.60253,3.52393,2.15191,0.0016,0.47941,0.00148,0.00045,3.94536,4.35958,2.52742,0.00101,0.00101,0.00101
27,1487.55,3.6531,3.49299,2.1657,0.00173,0.51765,0.00173,0.00052,3.75386,4.20976,2.4831,0.0009704,0.0009704,0.0009704
28,1541.86,3.63022,3.4835,2.1561,0.00156,0.46882,0.00158,0.00048,3.82214,4.32244,2.46575,0.0009308,0.0009308,0.0009308
29,1596.34,3.57602,3.49378,2.16322,0.0017,0.50941,0.00199,0.00057,3.75634,4.29772,2.43031,0.0008912,0.0008912,0.0008912
30,1650.61,3.62692,3.49393,2.16809,0.00167,0.5,0.00176,0.00052,3.7754,4.3277,2.44402,0.0008516,0.0008516,0.0008516
31,1705.07,3.58442,3.50714,2.1467,0.00162,0.48471,0.00174,0.00053,3.7841,4.23039,2.43964,0.000812,0.000812,0.000812
32,1759.8,3.60561,3.49448,2.17351,0.00165,0.49412,0.00178,0.00052,3.7817,4.26914,2.43267,0.0007724,0.0007724,0.0007724
33,1814.51,3.62222,3.51151,2.15285,0.00163,0.48353,0.00159,0.00048,nan,nan,nan,0.0007328,0.0007328,0.0007328
34,1869.18,3.63198,3.5135,2.1637,0.00173,0.51529,0.00178,0.00054,nan,nan,nan,0.0006932,0.0006932,0.0006932
35,1923.51,3.55105,3.5198,2.13429,0.00168,0.50412,0.00171,0.00051,3.66554,4.2852,2.36333,0.0006536,0.0006536,0.0006536
36,1977.82,3.57188,3.51152,2.14246,0.00163,0.48294,0.00152,0.00048,nan,nan,nan,0.000614,0.000614,0.000614
37,2032.57,3.56635,3.50669,2.15051,0.00161,0.47824,0.00142,0.00043,nan,nan,nan,0.0005744,0.0005744,0.0005744
38,2087.15,3.55315,3.50249,2.1255,0.00177,0.51882,0.00152,0.00046,nan,nan,nan,0.0005348,0.0005348,0.0005348
39,2141.61,3.5617,3.51024,2.13659,0.00172,0.51176,0.00183,0.00056,nan,nan,nan,0.0004952,0.0004952,0.0004952
40,2196.32,3.55282,3.52131,2.13181,0.00159,0.47176,0.00157,0.00045,nan,nan,nan,0.0004556,0.0004556,0.0004556
41,2266.47,3.42703,3.74327,2.20873,0.00199,0.59706,0.00328,0.00088,nan,nan,nan,0.000416,0.000416,0.000416
42,2321.91,3.41223,3.7138,2.21528,0.0019,0.56647,0.00321,0.00088,nan,nan,nan,0.0003764,0.0003764,0.0003764
43,2376.74,3.39272,3.69193,2.21196,0.00199,0.59118,0.00346,0.00098,nan,nan,nan,0.0003368,0.0003368,0.0003368
44,2431.92,3.38298,3.70498,2.20467,0.00194,0.57412,0.00278,0.00078,nan,nan,nan,0.0002972,0.0002972,0.0002972
45,2487.17,3.34291,3.68736,2.19571,0.00208,0.61706,0.00332,0.00097,nan,nan,nan,0.0002576,0.0002576,0.0002576
46,2541.88,3.36676,3.70251,2.19464,0.00208,0.61824,0.00343,0.00098,nan,nan,nan,0.000218,0.000218,0.000218
47,2596.68,3.37408,3.69343,2.19974,0.00208,0.61588,0.00325,0.00093,nan,nan,nan,0.0001784,0.0001784,0.0001784
48,2651.52,3.3453,3.70346,2.18851,0.00197,0.58471,0.00322,0.0009,nan,nan,nan,0.0001388,0.0001388,0.0001388
49,2705.98,3.34503,3.71123,2.17651,0.00198,0.58294,0.00321,0.00088,nan,nan,nan,9.92e-05,9.92e-05,9.92e-05
50,2760.7,3.3096,3.69384,2.18321,0.00199,0.58765,0.00336,0.00091,nan,nan,nan,5.96e-05,5.96e-05,5.96e-05
