epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5343,5.15669,4.19059,3.48364,0.00109,0.28176,0.00082,0.00032,nan,nan,nan,0.000663537,0.000663537,0.000663537
2,113.944,3.9865,3.53623,2.52377,0,0,0,0,nan,nan,nan,0.00130387,0.00130387,0.00130387
3,169.127,3.94067,3.46275,2.41308,0.00192,0.02471,0.00105,0.00033,nan,nan,nan,0.00191779,0.00191779,0.00191779
4,224.835,3.82881,3.48968,2.3017,0.00111,0.33353,0.00143,0.00051,3.83716,3.86298,2.48523,0.0018812,0.0018812,0.0018812
5,284.098,3.81173,3.48919,2.27227,0.00129,0.38765,0.00133,0.00036,3.9174,3.59423,2.48874,0.0018416,0.0018416,0.0018416
6,340.263,3.74108,3.49018,2.26262,0.00163,0.48471,0.0022,0.00063,nan,nan,nan,0.001802,0.001802,0.001802
7,398.098,3.75325,3.47407,2.27081,0.00111,0.33235,0.00105,0.00033,3.7964,3.98381,2.43938,0.0017624,0.0017624,0.0017624
8,455.411,3.75395,3.48443,2.24991,0.00169,0.50765,0.00151,0.00046,3.76275,4.10968,2.43873,0.0017228,0.0017228,0.0017228
9,510,3.74278,3.49164,2.24649,0.00109,0.32765,0.00101,0.0003,3.81921,4.04796,2.45539,0.0016832,0.0016832,0.0016832
10,564.416,3.67183,3.47039,2.22648,0.00163,0.48941,0.00142,0.00046,3.77735,4.11018,2.44561,0.0016436,0.0016436,0.0016436
11,619.254,3.72461,3.48726,2.22299,0.00148,0.44529,0.00124,0.00042,3.9741,4.15995,2.55711,0.001604,0.001604,0.001604
12,671.371,3.68222,3.48388,2.20923,0.00134,0.08647,0.00081,0.00024,nan,nan,nan,0.0015644,0.0015644,0.0015644
13,726.045,3.64837,3.50082,2.19238,0.00161,0.48235,0.00171,0.00054,3.75259,4.12794,2.42078,0.0015248,0.0015248,0.0015248
14,781.055,3.66261,3.50014,2.19129,0.00141,0.42412,0.00136,0.00038,3.75043,4.17405,2.43281,0.0014852,0.0014852,0.0014852
15,836.762,3.62233,3.49131,2.17763,0.00135,0.40353,0.00151,0.00046,3.73534,3.94355,2.41357,0.0014456,0.0014456,0.0014456
16,892.594,3.62536,3.49088,2.17942,0.00134,0.40235,0.0013,0.0004,3.8313,3.97437,2.47432,0.001406,0.001406,0.001406
17,945.931,3.64509,3.49432,2.19362,0.00175,0.23294,0.00126,0.00039,nan,nan,nan,0.0013664,0.0013664,0.0013664
18,999.288,3.60371,3.49644,2.17499,0.00161,0.37706,0.00133,0.0004,nan,nan,nan,0.0013268,0.0013268,0.0013268
