epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9453,5.60108,4.69065,3.81618,0,0,0,0,nan,nan,nan,0.000660436,0.000660436,0.000660436
2,60.3201,4.29294,3.73646,2.84002,0.00054,0.00563,0.00024,3e-05,nan,nan,nan,0.00130083,0.00130083,0.00130083
3,90.5451,4.00484,3.59632,2.49089,0.00093,0.22514,0.0006,0.00021,nan,nan,nan,0.00191482,0.00191482,0.00191482
4,121.029,3.90015,3.58184,2.39571,0.00116,0.44278,0.0012,0.00034,3.90262,3.34941,2.49692,0.0018812,0.0018812,0.0018812
5,150.506,3.90733,3.56878,2.42035,0.00095,0.3621,0.0008,0.00027,3.92725,3.91792,2.48909,0.0018416,0.0018416,0.0018416
6,179.614,3.92532,3.59599,2.35016,0.00106,0.40713,0.0009,0.00028,3.88393,4.09306,2.89513,0.001802,0.001802,0.001802
7,208.002,3.89269,3.54664,2.37884,0.00121,0.00563,0.00069,0.00023,3.89564,24.2507,3.84784,0.0017624,0.0017624,0.0017624
8,237.035,3.97111,3.567,2.40429,0.001,0.38274,0.00075,0.00023,3.96547,4.23536,4.36709,0.0017228,0.0017228,0.0017228
9,265.532,3.87954,3.56571,2.32465,0.00089,0.34146,0.00064,0.00019,3.84955,3.89285,2.75686,0.0016832,0.0016832,0.0016832
10,294.663,3.81949,3.56219,2.31441,0.00084,0.3227,0.00075,0.00019,3.99236,4.03053,2.53724,0.0016436,0.0016436,0.0016436
11,323.609,3.81487,3.55165,2.29682,0.00113,0.4334,0.00155,0.00043,3.88113,4.1047,2.52251,0.001604,0.001604,0.001604
12,354.223,3.75114,3.5749,2.28207,0.00113,0.43152,0.00188,0.00061,3.87214,4.2846,2.49586,0.0015644,0.0015644,0.0015644
13,384.325,3.79049,3.56421,2.28831,0.00098,0.37336,0.00129,0.0005,3.99615,3.71012,2.70745,0.0015248,0.0015248,0.0015248
14,412.605,3.75473,3.58455,2.27953,0.00127,0.4878,0.00107,0.00034,3.76817,4.20298,2.52499,0.0014852,0.0014852,0.0014852
15,440.21,3.74783,3.57636,2.22832,0.00137,0.52345,0.00213,0.00056,3.77525,3.42926,2.45319,0.0014456,0.0014456,0.0014456
16,467.662,3.71722,3.5803,2.24024,0.00127,0.4878,0.00225,0.00068,3.83461,3.69431,2.48332,0.001406,0.001406,0.001406
17,496.664,3.77084,3.55941,2.26729,0.00156,0.5985,0.00366,0.00121,3.43757,3.90736,2.31433,0.0013664,0.0013664,0.0013664
18,525.477,3.70363,3.57687,2.19408,0.00146,0.5591,0.00325,0.00118,3.44941,3.85441,2.35174,0.0013268,0.0013268,0.0013268
19,553.393,3.67484,3.55102,2.21412,0.00137,0.52533,0.00311,0.00089,3.54908,3.43369,2.35341,0.0012872,0.0012872,0.0012872
20,580.97,3.66116,3.50299,2.21894,0.00148,0.56473,0.00384,0.00132,3.45078,3.66224,2.31988,0.0012476,0.0012476,0.0012476
21,609.717,3.58762,3.51399,2.17191,0.00108,0.41463,0.0019,0.00042,3.89964,3.38601,2.54315,0.001208,0.001208,0.001208
22,637.226,3.54064,3.46034,2.16212,0.00135,0.51595,0.00436,0.00142,3.60427,3.45107,2.43154,0.0011684,0.0011684,0.0011684
23,665.927,3.59456,3.52449,2.16754,0.00125,0.47655,0.0049,0.00153,3.59276,3.36416,2.39956,0.0011288,0.0011288,0.0011288
24,695.341,3.47607,3.44407,2.12151,0.00144,0.54972,0.00342,0.00129,3.44386,4.06557,2.37151,0.0010892,0.0010892,0.0010892
25,724.295,3.48441,3.46836,2.14639,0.00128,0.48968,0.00842,0.00232,3.56374,3.22293,2.3384,0.0010496,0.0010496,0.0010496
26,754.995,3.41644,3.37362,2.09637,0.00101,0.38649,0.00945,0.00216,3.71888,3.18595,2.40907,0.00101,0.00101,0.00101
27,784.101,3.38516,3.32005,2.07753,0.00165,0.63039,0.03716,0.01086,3.04607,3.06787,2.14121,0.0009704,0.0009704,0.0009704
28,813.928,3.35847,3.32059,2.06359,0.00183,0.69981,0.02482,0.00745,3.28273,3.42331,2.24428,0.0009308,0.0009308,0.0009308
29,843.149,3.3502,3.27366,2.06599,0.00175,0.66792,0.04316,0.01208,3.15256,3.07411,2.16477,0.0008912,0.0008912,0.0008912
30,873.561,3.31873,3.24448,2.0529,0.00163,0.62101,0.06177,0.01862,3.09155,2.98971,2.14062,0.0008516,0.0008516,0.0008516
31,904.144,3.23089,3.21813,2.01479,0.00185,0.70356,0.06293,0.0146,3.0036,2.93595,2.11049,0.000812,0.000812,0.000812
32,932.717,3.29181,3.17817,2.04378,0.05726,0.32083,0.07408,0.02078,3.19001,2.80964,2.17099,0.0007724,0.0007724,0.0007724
33,961.947,3.27793,3.16326,2.02682,0.00189,0.71857,0.06168,0.01815,3.03062,3.03272,2.09088,0.0007328,0.0007328,0.0007328
34,989.976,3.17936,3.06682,2.00173,0.00169,0.60976,0.08395,0.02154,3.19855,2.81296,2.14951,0.0006932,0.0006932,0.0006932
35,1018.96,3.20397,3.06503,2.00873,0.07734,0.35835,0.08275,0.02303,3.05126,2.87734,2.06712,0.0006536,0.0006536,0.0006536
36,1049.08,3.17332,2.99119,1.96477,0.00221,0.73171,0.05961,0.01573,3.0009,2.90512,2.05371,0.000614,0.000614,0.000614
37,1077.46,3.1337,2.92898,1.9632,0.04522,0.46717,0.09067,0.02303,3.15943,2.75764,2.10293,0.0005744,0.0005744,0.0005744
38,1106.19,3.12731,2.88005,1.9557,0.25664,0.22326,0.14002,0.04471,2.82324,2.53836,1.94891,0.0005348,0.0005348,0.0005348
39,1135.37,3.08963,2.78415,1.92889,0.23824,0.27392,0.12639,0.03847,2.84229,2.60854,1.96572,0.0004952,0.0004952,0.0004952
